order_id,product_id,category,quantity,price
1001,P005,Accessories,2,71.0
1001,P006,Home,2,71.0
1002,P004,Accessories,1,35.0
1002,P005,Accessories,2,35.0
1003,P004,Accessories,1,124.0
1004,P003,Home,2,99.5
1004,P005,Accessories,2,99.5
1005,P004,Accessories,2,43.5
1005,P006,Home,2,43.5
1006,P006,Home,2,126.5
1006,P003,Home,1,126.5
1007,P004,Accessories,1,49.0
1007,P001,Electronics,1,49.0
1008,P003,Home,2,134.5
1008,P005,Accessories,2,134.5
1009,P002,Electronics,2,78.5
1009,P005,Accessories,1,78.5
1010,P003,Home,2,139.0
1010,P005,Accessories,2,139.0
1011,P001,Electronics,1,108.0
1011,P001,Electronics,2,108.0
1012,P004,Accessories,1,291.0
1013,P004,Accessories,1,179.0
1014,P003,Home,1,221.0
1015,P006,Home,1,65.0
1015,P001,Electronics,1,65.0
1016,P004,Accessories,2,26.5
1016,P003,Home,1,26.5
1017,P006,Home,2,133.5
1017,P003,Home,1,133.5
1018,P002,Electronics,2,277.0
1019,P001,Electronics,2,264.0
1020,P002,Electronics,2,257.0
1021,P005,Accessories,1,266.0
1022,P006,Home,2,206.0
1023,P005,Accessories,2,60.0
1023,P001,Electronics,1,60.0
1024,P003,Home,1,188.0
1025,P002,Electronics,1,212.0
1026,P002,Electronics,1,140.0
1026,P005,Accessories,1,140.0
1027,P005,Accessories,2,60.5
1027,P001,Electronics,1,60.5
1028,P005,Accessories,2,100.0
1028,P006,Home,2,100.0
1029,P006,Home,1,134.0
1029,P002,Electronics,1,134.0
1030,P001,Electronics,2,224.0
1031,P001,Electronics,2,133.5
1031,P006,Home,2,133.5
1032,P004,Accessories,1,93.0
1032,P004,Accessories,2,93.0
1033,P004,Accessories,1,228.0
1034,P004,Accessories,2,50.5
1034,P006,Home,2,50.5
1035,P003,Home,1,100.0
1035,P004,Accessories,2,100.0
1036,P002,Electronics,2,39.0
1036,P006,Home,1,39.0
1037,P001,Electronics,1,118.0
1037,P006,Home,2,118.0
1038,P005,Accessories,2,219.0
1039,P003,Home,2,88.5
1039,P002,Electronics,2,88.5
1040,P001,Electronics,1,280.0
1041,P002,Electronics,1,38.0
1041,P003,Home,1,38.0
1042,P002,Electronics,2,141.0
1042,P003,Home,2,141.0
1043,P005,Accessories,2,93.0
1043,P002,Electronics,2,93.0
1044,P006,Home,1,141.5
1044,P005,Accessories,2,141.5
1045,P002,Electronics,1,229.0
1046,P002,Electronics,1,61.0
1047,P001,Electronics,1,81.0
1047,P003,Home,1,81.0
1048,P004,Accessories,1,162.0
1049,P001,Electronics,1,136.0
1050,P005,Accessories,2,98.0
1050,P002,Electronics,1,98.0
1051,P006,Home,1,209.0
1052,P001,Electronics,2,252.0
1053,P005,Accessories,2,87.0
1054,P002,Electronics,1,144.5
1054,P001,Electronics,1,144.5
1055,P001,Electronics,1,59.5
1055,P002,Electronics,2,59.5
1056,P006,Home,2,106.5
1056,P001,Electronics,2,106.5
1057,P005,Accessories,2,197.0
1058,P001,Electronics,2,108.5
1058,P002,Electronics,2,108.5
1059,P003,Home,1,134.5
1059,P006,Home,2,134.5
1060,P006,Home,2,135.5
1060,P003,Home,2,135.5
1061,P003,Home,1,293.0
1062,P005,Accessories,2,97.0
1063,P004,Accessories,2,104.5
1064,P005,Accessories,1,148.0
1065,P004,Accessories,2,98.5
1065,P006,Home,1,98.5
1066,P001,Electronics,2,124.0
1067,P004,Accessories,2,76.5
1067,P001,Electronics,1,76.5
1068,P001,Electronics,2,133.0
1068,P006,Home,1,133.0
1069,P004,Accessories,1,51.5
1069,P002,Electronics,2,51.5
1070,P006,Home,1,117.0
1071,P001,Electronics,1,122.0
1071,P002,Electronics,1,122.0
1072,P005,Accessories,1,164.0
1073,P004,Accessories,2,207.0
1074,P004,Accessories,2,38.0
1074,P001,Electronics,2,38.0
1075,P005,Accessories,2,77.0
1076,P001,Electronics,1,110.0
1077,P006,Home,2,66.0
1078,P002,Electronics,2,47.5
1078,P004,Accessories,2,47.5
1079,P002,Electronics,1,43.0
1079,P003,Home,1,43.0
1080,P003,Home,2,230.0
1081,P006,Home,1,240.0
1082,P001,Electronics,1,88.5
1082,P005,Accessories,2,88.5
1083,P003,Home,1,53.5
1083,P004,Accessories,2,53.5
1084,P006,Home,2,40.5
1084,P003,Home,2,40.5
1085,P004,Accessories,1,176.0
1086,P001,Electronics,1,33.0
1086,P005,Accessories,1,33.0
1087,P005,Accessories,2,295.0
1088,P002,Electronics,2,75.0
1089,P006,Home,2,149.5
1089,P003,Home,1,149.5
1090,P003,Home,1,34.5
1090,P001,Electronics,1,34.5
1091,P004,Accessories,1,193.0
1092,P002,Electronics,2,70.5
1092,P006,Home,2,70.5
1093,P003,Home,1,135.0
1094,P005,Accessories,1,119.5
1094,P004,Accessories,2,119.5
1095,P006,Home,1,67.5
1095,P004,Accessories,2,67.5
1096,P003,Home,2,64.0
1097,P004,Accessories,2,57.0
1098,P005,Accessories,2,152.0
1099,P006,Home,1,74.0
1099,P004,Accessories,2,74.0
1100,P002,Electronics,2,81.5
1100,P005,Accessories,2,81.5
1101,P002,Electronics,2,97.0
1101,P001,Electronics,1,97.0
1102,P004,Accessories,2,278.0
1103,P003,Home,1,186.0
1104,P002,Electronics,1,85.5
1104,P001,Electronics,1,85.5
1105,P006,Home,1,83.5
1105,P005,Accessories,2,83.5
1106,P006,Home,1,178.0
1107,P003,Home,1,118.0
1108,P005,Accessories,2,101.5
1108,P002,Electronics,2,101.5
1109,P004,Accessories,1,78.0
1110,P006,Home,1,290.0
1111,P004,Accessories,1,133.5
1111,P003,Home,2,133.5
1112,P001,Electronics,1,135.5
1112,P006,Home,1,135.5
1113,P005,Accessories,1,295.0
1114,P005,Accessories,1,187.0
1115,P004,Accessories,2,148.5
1116,P001,Electronics,1,290.0
1117,P005,Accessories,1,66.5
1117,P002,Electronics,1,66.5
1118,P006,Home,1,173.0
1119,P003,Home,1,150.0
1120,P006,Home,2,108.5
1121,P006,Home,1,190.0
1122,P006,Home,1,292.0
1123,P003,Home,2,69.5
1123,P001,Electronics,1,69.5
1124,P006,Home,2,105.5
1124,P006,Home,1,105.5
1125,P001,Electronics,1,147.0
1125,P006,Home,1,147.0
1126,P002,Electronics,1,169.0
1127,P004,Accessories,2,298.0
1128,P006,Home,1,226.0
1129,P003,Home,2,290.0
1130,P001,Electronics,2,239.0
1131,P004,Accessories,2,72.0
1132,P006,Home,1,81.0
1132,P005,Accessories,2,81.0
1133,P001,Electronics,2,95.0
1134,P004,Accessories,1,282.0
1135,P003,Home,1,38.5
1136,P006,Home,2,299.0
1137,P004,Accessories,1,189.0
1138,P004,Accessories,2,100.0
1138,P002,Electronics,1,100.0
1139,P006,Home,2,91.0
1140,P005,Accessories,2,182.0
1141,P006,Home,2,124.0
1142,P003,Home,2,123.0
1143,P002,Electronics,1,28.0
1143,P005,Accessories,1,28.0
1144,P004,Accessories,1,93.0
1144,P003,Home,2,93.0
1145,P005,Accessories,1,54.0
1146,P005,Accessories,1,114.0
1147,P003,Home,1,60.0
1147,P002,Electronics,2,60.0
1148,P001,Electronics,2,104.0
1148,P005,Accessories,1,104.0
1149,P004,Accessories,2,140.0
1150,P006,Home,1,87.5
1150,P001,Electronics,1,87.5
1151,P004,Accessories,1,134.5
1151,P006,Home,2,134.5
1152,P003,Home,2,176.0
1153,P001,Electronics,1,127.0
1153,P003,Home,2,127.0
1154,P004,Accessories,2,162.0
1155,P006,Home,2,46.5
1155,P005,Accessories,1,46.5
1156,P004,Accessories,2,48.0
1156,P002,Electronics,1,48.0
1157,P001,Electronics,1,278.0
1158,P006,Home,2,97.5
1158,P006,Home,1,97.5
1159,P001,Electronics,1,96.0
1159,P004,Accessories,2,96.0
1160,P003,Home,2,83.5
1161,P001,Electronics,1,30.5
1161,P005,Accessories,1,30.5
1162,P003,Home,2,253.0
1163,P003,Home,2,70.5
1163,P005,Accessories,2,70.5
1164,P001,Electronics,1,54.5
1164,P005,Accessories,2,54.5
1165,P006,Home,1,90.0
1166,P003,Home,2,97.0
1166,P004,Accessories,1,97.0
1167,P005,Accessories,1,134.5
1167,P001,Electronics,2,134.5
1168,P002,Electronics,1,91.5
1168,P006,Home,2,91.5
1169,P001,Electronics,2,96.0
1170,P001,Electronics,1,291.0
1171,P005,Accessories,1,297.0
1172,P001,Electronics,1,273.0
1173,P003,Home,2,75.0
1174,P003,Home,1,254.0
1175,P006,Home,1,178.0
1176,P004,Accessories,1,246.0
1177,P005,Accessories,1,51.0
1177,P005,Accessories,2,51.0
1178,P001,Electronics,1,194.0
1179,P004,Accessories,2,25.0
1179,P005,Accessories,2,25.0
1180,P003,Home,2,242.0
1181,P006,Home,1,121.0
1182,P001,Electronics,1,231.0
1183,P002,Electronics,2,51.5
1184,P001,Electronics,1,53.0
1184,P004,Accessories,2,53.0
1185,P003,Home,1,200.0
1186,P004,Accessories,1,76.0
1186,P001,Electronics,2,76.0
1187,P003,Home,1,43.5
1187,P001,Electronics,1,43.5
1188,P005,Accessories,1,70.0
1188,P002,Electronics,2,70.0
1189,P003,Home,1,215.0
1190,P006,Home,2,148.0
1190,P003,Home,2,148.0
1191,P001,Electronics,1,78.0
1192,P003,Home,2,61.5
1192,P006,Home,1,61.5
1193,P002,Electronics,1,243.0
1194,P003,Home,2,144.5
1194,P006,Home,2,144.5
1195,P001,Electronics,1,100.0
1195,P006,Home,2,100.0
1196,P003,Home,1,167.0
1197,P005,Accessories,1,244.0
1198,P005,Accessories,1,55.0
1198,P006,Home,1,55.0
1199,P001,Electronics,1,54.0
1200,P001,Electronics,2,35.5
1200,P004,Accessories,1,35.5
1201,P003,Home,2,141.0
1201,P004,Accessories,1,141.0
1202,P001,Electronics,1,127.0
1203,P002,Electronics,2,149.0
1203,P004,Accessories,2,149.0
1204,P003,Home,1,52.5
1204,P004,Accessories,2,52.5
1205,P001,Electronics,1,130.0
1206,P003,Home,2,148.0
1207,P002,Electronics,1,38.5
1207,P001,Electronics,2,38.5
1208,P004,Accessories,1,79.0
1208,P002,Electronics,2,79.0
1209,P005,Accessories,1,28.0
1209,P004,Accessories,1,28.0
1210,P001,Electronics,1,144.0
1210,P004,Accessories,1,144.0
1211,P002,Electronics,2,87.0
1212,P004,Accessories,1,84.0
1212,P003,Home,1,84.0
1213,P003,Home,2,66.0
1214,P001,Electronics,1,93.0
1215,P005,Accessories,2,58.5
1215,P002,Electronics,2,58.5
1216,P004,Accessories,2,97.5
1216,P001,Electronics,1,97.5
1217,P001,Electronics,1,41.5
1217,P002,Electronics,1,41.5
1218,P003,Home,1,109.0
1219,P002,Electronics,1,56.5
1219,P006,Home,2,56.5
1220,P003,Home,2,247.0
